x,y,species cloglog values
1.0,1.0,0.016065829
2.0,2.0,0.41431475
3.0,3.0,0.0059184628
4.0,4.0,0.17561212
5.0,5.0,0.3070053
6.0,6.0,0.361419
7.0,7.0,0.6434373
8.0,8.0,0.37627697
9.0,9.0,0.11282648
10.0,10.0,0.61726505
11.0,11.0,0.0037851506
12.0,12.0,0.1776572
13.0,13.0,0.20070313
14.0,14.0,0.030703776
15.0,15.0,0.011308224
16.0,16.0,0.035229597
17.0,17.0,0.48715544
18.0,18.0,0.030307407
19.0,19.0,0.032483697
20.0,20.0,0.20554717
21.0,21.0,0.012924037
22.0,22.0,0.021794379
23.0,23.0,0.45095333
24.0,24.0,0.6678074
25.0,25.0,0.019403378
26.0,26.0,0.18481308
27.0,27.0,0.007692837
28.0,28.0,0.0038748186
29.0,29.0,0.34685892
30.0,30.0,0.048832603
31.0,31.0,0.347624
32.0,32.0,0.008401039
33.0,33.0,0.4093481
34.0,34.0,0.007034576
35.0,35.0,0.013739733
36.0,36.0,0.5002306
37.0,37.0,0.04869443
38.0,38.0,0.025039235
39.0,39.0,0.5387375
40.0,40.0,0.5283642
41.0,41.0,0.09709568
42.0,42.0,0.19025838
43.0,43.0,0.020202188
44.0,44.0,0.0029831012
45.0,45.0,0.58399576
46.0,46.0,0.087182604
47.0,47.0,0.55773026
48.0,48.0,0.029361317
49.0,49.0,0.22873503
50.0,50.0,0.08414909
51.0,51.0,0.2481909
52.0,52.0,0.005795138
53.0,53.0,0.023154717
54.0,54.0,0.6763987
55.0,55.0,0.077990614
56.0,56.0,0.034848258
57.0,57.0,0.07759463
58.0,58.0,0.0056398544
59.0,59.0,0.29327598
60.0,60.0,0.0134660285
61.0,61.0,5.6330176E-5
62.0,62.0,0.013786331
63.0,63.0,0.052424513
64.0,64.0,0.056052946
65.0,65.0,6.9452456E-4
66.0,66.0,0.08001557
67.0,67.0,0.06417313
68.0,68.0,0.028994571
69.0,69.0,0.1618706
70.0,70.0,0.016307306
71.0,71.0,0.025020761
72.0,72.0,0.020930104
73.0,73.0,0.024624126
74.0,74.0,0.03060324
75.0,75.0,0.008624639
76.0,76.0,0.058599763
77.0,77.0,0.19992627
78.0,78.0,0.14655256
79.0,79.0,0.16561404
80.0,80.0,0.012787591
81.0,81.0,0.008208553
82.0,82.0,0.092628635
83.0,83.0,0.6325385
84.0,84.0,0.12753506
85.0,85.0,0.16811621
86.0,86.0,0.05025075
87.0,87.0,0.025760906
88.0,88.0,0.015608524
89.0,89.0,0.49126905
90.0,90.0,0.06664285
91.0,91.0,0.01650437
92.0,92.0,0.07100468
93.0,93.0,0.5654427
94.0,94.0,0.041711632
95.0,95.0,0.018478703
96.0,96.0,0.007941698
97.0,97.0,0.038366336
98.0,98.0,0.61592185
99.0,99.0,0.65114665
100.0,100.0,0.54089785
101.0,101.0,0.005945134
102.0,102.0,0.028503448
103.0,103.0,0.010822004
104.0,104.0,0.030327171
105.0,105.0,0.5509055
106.0,106.0,0.026530005
107.0,107.0,0.004619375
108.0,108.0,0.032832943
109.0,109.0,0.602529
110.0,110.0,0.5212135
111.0,111.0,0.62357193
112.0,112.0,0.01961139
113.0,113.0,0.08279044
114.0,114.0,0.21771981
115.0,115.0,0.04323424
116.0,116.0,0.0054936185
117.0,117.0,0.031532995
118.0,118.0,0.3804312
119.0,119.0,0.68142086
120.0,120.0,0.022342317
121.0,121.0,0.057654705
122.0,122.0,0.02619582
123.0,123.0,0.13041568
124.0,124.0,0.0012628277
125.0,125.0,0.34137672
126.0,126.0,0.0073483656
127.0,127.0,0.064629
128.0,128.0,0.027047781
129.0,129.0,0.5955182
130.0,130.0,0.006821701
131.0,131.0,0.012655046
132.0,132.0,1.19767465E-4
133.0,133.0,0.46382892
134.0,134.0,0.13600807
135.0,135.0,0.06413117
136.0,136.0,0.022351105
137.0,137.0,0.0045764893
138.0,138.0,0.0033217636
139.0,139.0,0.007939981
140.0,140.0,0.14514782
141.0,141.0,0.0046009487
142.0,142.0,0.63714683
143.0,143.0,0.08234305
144.0,144.0,0.15314329
145.0,145.0,0.0071190386
146.0,146.0,0.08987937
147.0,147.0,0.119010225
148.0,148.0,0.02055217
149.0,149.0,0.02193941
150.0,150.0,0.028883807
151.0,151.0,0.080210835
152.0,152.0,0.58206743
153.0,153.0,0.016416607
154.0,154.0,0.42571822
155.0,155.0,0.1038596
